appid,name,playtime_forever,img_icon_url,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,content_descriptorids,playtime_disconnected,has_community_visible_stats,playtime_2weeks,has_leaderboards
20,Team Fortress Classic,0,38ea7ebe3c1abbbbf4eabdbef174c41a972102b9,0,0,0,0,0,"[2, 5]",0,,,
50,Half-Life: Opposing Force,0,04e81206c10e12416908c72c5f22aad411b3aeef,0,0,0,0,0,"[2, 5]",0,,,
70,Half-Life,0,95be6d131fc61f145797317ca437c9765f24b41c,0,0,0,0,0,"[2, 5]",0,,,
130,Half-Life: Blue Shift,0,b06fdee488b3220362c11704be4edad82abeed08,0,0,0,0,0,"[2, 5]",0,,,
220,Half-Life 2,0,fcfb366051782b8ebf2aa297f3b746395858cb62,0,0,0,0,0,"[2, 5]",0,True,,
340,Half-Life 2: Lost Coast,0,795e85364189511f4990861b578084deef086cb1,0,0,0,0,0,"[2, 5]",0,,,
280,Half-Life: Source,0,b4f572a6cc5a6a84ae84634c31414b9123d2f26b,0,0,0,0,0,,0,,,
360,Half-Life Deathmatch: Source,0,40b8a62efff5a9ab356e5c56f5c8b0532c8e1aa3,0,0,0,0,0,"[2, 5]",0,,,
320,Half-Life 2: Deathmatch,0,795e85364189511f4990861b578084deef086cb1,0,0,0,0,0,"[2, 5]",0,,,
380,Half-Life 2: Episode One,0,795e85364189511f4990861b578084deef086cb1,0,0,0,0,0,"[2, 5]",0,True,,
400,Portal,908,cfa928ab4119dd137e50d728e8fe703e4e970aff,0,0,336,336,1730596805,,379,True,336.0,
420,Half-Life 2: Episode Two,0,795e85364189511f4990861b578084deef086cb1,0,0,0,0,0,"[2, 5]",0,True,,
35700,Trine,5,298185d8ef9d688fe96a5fa15ee8174892f1c000,0,0,0,0,1619829216,,0,True,,
6060,"Star Wars: Battlefront 2 (Classic, 2005)",8158,f6302406e215af8cff3533a747d30387f68bef2a,432,0,70,69,1718217601,,0,,,
